id,domain_name,is_malicious,first_seen,last_seen,organization_id
150,p377843.infopicked.com,1,,,4
151,p245721.infopicked.com,1,,,4
152,p400089.infopicked.com,1,,,4
153,p328123.infopicked.com,1,,,4
154,p277439.infopicked.com,1,,,4
155,p368417.infopicked.com,1,,,4
156,p329076.infopicked.com,1,,,4
157,p421803.infopicked.com,1,,,4
158,p230710.infopicked.com,1,,,4
159,p178775.infopicked.com,1,,,4
160,p377977.infopicked.com,1,,,4
161,p251644.infopicked.com,1,,,4
162,p220333.infopicked.com,1,,,4
163,avg99.does-it.net,1,,,4
164,webmail.rhubarb2.com,1,,,5
165,bkmall.rhubarb2.com,1,,,5
166,mip.rhubarb2.com,1,,,5
167,m.rhubarb2.com,1,,,5
168,olcubfbuk6.dlstube.com,1,,,5
169,jnkeq.dlstube.com,1,,,5
170,rskxoj0fas.dlstube.com,1,,,5
171,vzcvd.dlstube.com,1,,,5
172,www.hainanbank.com.cn.fhjsdkla.com,1,,,5
173,webmail.fhjsdkla.com,1,,,5
174,mail.fhjsdkla.com,1,,,5
175,www.fhjsdkla.com,1,,,5
176,ww1.adobeseupdater.com,1,,,5
177,www.adobeseupdater.com,1,,,5
178,mail.rhubarb3.com,1,,,5
179,www.dldocuments.com,1,,,5
180,www.dlstube.com,1,,,5
181,mx.dlgmail.com,1,,,5
182,mta-sts.mail.androidupdaters.com,1,,,5
183,mail.adobeactiveupdate.com,1,,,5
184,ww.rhubarb2.com,1,,,5
185,mail.dlstubes.com,1,,,5
186,www.googleupdators.com,1,,,5
187,www.dlstubes.com,1,,,5
188,www.androidupdaters.com,1,,,5
189,www.rhubarb3.com,1,,,5
190,googleupdators.com,1,,,5
191,dlstubes.com,1,,,5
192,dlstube.com,1,,,5
193,adobeseupdater.com,1,,,5
194,adobeactiveupdates.com,1,,,5
195,adobeactiveupdate.com,1,,,5
196,rhubarb3.com,1,,,5
197,rhubarb2.com,1,,,5
198,dlgmail.com,1,,,5
199,androidupdaters.com,1,,,5
200,entekhab10.xp3.biz,1,,,5
201,www.new.young-spencer.com,1,,,6
202,www.young-spencer.com,1,,,6
203,gci.gooogel.org,1,,,6
204,ww12.gooogel.org,1,,,6
205,hostmaster.gooogel.org,1,,,6
206,mail.gooogel.org,1,,,6
207,webmail.upload909.net,1,,,6
208,www.upload909.net,1,,,6
209,im-inter.net,1,,,6
210,www.seomoi.net,1,,,6
211,ww12.seomoi.net,1,,,6
212,www.im-inter.net,1,,,6
213,mail.im-inter.net,1,,,6
214,smtp.im-inter.net,1,,,6
215,takdoc.im-inter.net,1,,,6
216,taikang.com.dslam.net,1,,,6
217,mail.dslam.net,1,,,6
218,wwww.dslam.net,1,,,6
